(2, 3, 4)
(2, 3, 14)
(2, 4, 14)
(2, 5, 6)
(2, 5, 11)
(2, 5, 14)
(2, 6, 11)
(2, 6, 14)
(2, 7, 14)
(2, 8, 14)
(2, 9, 14)
(2, 10, 11)
(2, 10, 14)
(2, 11, 14)
(2, 12, 14)
(2, 13, 14)
(2, 14, 15)
(2, 14, 16)
(3, 4, 5)
(3, 4, 6)
(3, 4, 7)
(3, 4, 8)
(3, 4, 9)
(3, 4, 10)
(3, 4, 11)
(3, 4, 12)
(3, 4, 13)
(3, 4, 14)
(3, 4, 14)
(3, 4, 15)
(3, 4, 16)
(3, 5, 11)
(3, 5, 14)
(3, 6, 14)
(3, 7, 14)
(3, 8, 14)
(3, 9, 14)
(3, 10, 11)
(3, 10, 14)
(3, 11, 14)
(3, 12, 14)
(3, 13, 14)
(3, 14, 15)
(3, 14, 16)
(4, 5, 11)
(4, 5, 14)
(4, 6, 14)
(4, 8, 14)
(4, 9, 14)
(4, 10, 11)
(4, 10, 14)
(4, 11, 14)
(4, 12, 14)
(4, 13, 14)
(4, 14, 15)
(4, 14, 16)
(5, 6, 11)
(5, 6, 11)
(5, 6, 14)
(5, 7, 11)
(5, 7, 14)
(5, 8, 11)
(5, 8, 14)
(5, 9, 11)
(5, 9, 14)
(5, 10, 11)
(5, 10, 14)
(5, 11, 12)
(5, 11, 13)
(5, 11, 14)
(5, 11, 14)
(5, 11, 15)
(5, 11, 16)
(5, 12, 14)
(5, 13, 14)
(5, 14, 15)
(5, 14, 16)
(6, 7, 14)
(6, 8, 14)
(6, 9, 14)
(6, 10, 11)
(6, 10, 14)
(6, 11, 14)
(6, 12, 14)
(6, 13, 14)
(6, 14, 15)
(6, 14, 16)
(7, 8, 14)
(7, 9, 14)
(7, 10, 11)
(7, 10, 14)
(7, 11, 14)
(7, 12, 14)
(7, 13, 14)
(7, 14, 15)
(7, 14, 16)
(8, 9, 14)
(8, 10, 11)
(8, 10, 14)
(8, 11, 14)
(8, 12, 14)
(8, 13, 14)
(8, 14, 15)
(8, 14, 16)
(9, 10, 11)
(9, 10, 14)
(9, 11, 14)
(9, 12, 14)
(9, 13, 14)
(9, 14, 15)
(9, 14, 16)
(10, 11, 12)
(10, 11, 13)
(10, 11, 14)
(10, 11, 14)
(10, 11, 15)
(10, 11, 16)
(10, 12, 14)
(10, 13, 14)
(10, 14, 15)
(10, 14, 16)
(11, 12, 14)
(11, 13, 14)
(11, 14, 15)
(11, 14, 16)
(12, 13, 14)
(12, 14, 15)
(12, 14, 16)
(13, 14, 15)
(13, 14, 16)
(14, 15, 16)
