(1, 3, 21)
(1, 3, 127)
(1, 5, 91)
(1, 13, 70)
(1, 15, 20)
(1, 20, 26)
(1, 22, 48)
(1, 22, 91)
(1, 26, 118)
(1, 27, 51)
(1, 30, 51)
(1, 30, 69)
(1, 30, 155)
(1, 31, 32)
(1, 31, 70)
(1, 32, 68)
(1, 34, 56)
(1, 36, 158)
(1, 48, 56)
(1, 48, 59)
(1, 51, 57)
(1, 51, 80)
(1, 51, 149)
(1, 58, 91)
(1, 68, 70)
(1, 70, 85)
(1, 70, 131)
(1, 75, 91)
(1, 75, 94)
(1, 79, 91)
(1, 90, 91)
(1, 91, 94)
(1, 91, 98)
(1, 91, 108)
(1, 112, 123)
(2, 12, 75)
(2, 13, 70)
(2, 15, 20)
(2, 20, 26)
(2, 20, 130)
(2, 22, 48)
(2, 23, 95)
(2, 26, 118)
(2, 30, 37)
(2, 30, 67)
(2, 30, 69)
(2, 30, 80)
(2, 30, 104)
(2, 30, 124)
(2, 30, 155)
(2, 34, 56)
(2, 40, 152)
(2, 56, 75)
(2, 68, 70)
(2, 70, 85)
(2, 70, 131)
(2, 75, 87)
(2, 75, 120)
(2, 75, 127)
(2, 75, 147)
(2, 108, 123)
(2, 112, 123)
(3, 13, 70)
(3, 15, 20)
(3, 18, 80)
(3, 18, 158)
(3, 20, 26)
(3, 20, 130)
(3, 22, 48)
(3, 23, 95)
(3, 30, 69)
(3, 34, 56)
(3, 40, 152)
(3, 42, 75)
(3, 48, 56)
(3, 48, 59)
(3, 53, 70)
(3, 53, 75)
(3, 53, 85)
(3, 56, 73)
(3, 62, 67)
(3, 68, 70)
(3, 70, 85)
(3, 70, 131)
(3, 75, 106)
(3, 75, 131)
(4, 12, 75)
(4, 13, 70)
(4, 15, 20)
(4, 17, 75)
(4, 20, 26)
(4, 20, 31)
(4, 20, 119)
(4, 20, 130)
(4, 20, 158)
(4, 22, 48)
(4, 30, 69)
(4, 34, 56)
(4, 40, 152)
(4, 41, 56)
(4, 46, 48)
(4, 48, 106)
(4, 52, 91)
(4, 53, 70)
(4, 56, 75)
(4, 68, 70)
(4, 70, 85)
(4, 70, 131)
(4, 72, 123)
(4, 75, 97)
(4, 75, 102)
(4, 75, 120)
