(2, 6, 11)
(2, 11, 17)
(2, 16, 19)
(3, 4, 17)
(3, 5, 17)
(3, 6, 11)
(3, 6, 17)
(3, 9, 17)
(3, 10, 17)
(3, 11, 17)
(3, 14, 15)
(3, 15, 17)
(3, 16, 17)
(3, 17, 18)
(3, 17, 19)
(4, 5, 11)
(4, 6, 11)
(4, 9, 11)
(4, 10, 17)
(4, 11, 17)
(4, 11, 19)
(5, 6, 11)
(5, 10, 17)
(5, 11, 17)
(5, 17, 18)
(5, 17, 19)
(6, 8, 11)
(6, 10, 11)
(6, 10, 17)
(6, 11, 12)
(6, 11, 13)
(6, 11, 16)
(6, 11, 17)
(6, 11, 19)
(7, 11, 17)
(8, 11, 17)
(8, 12, 15)
(8, 14, 15)
(9, 10, 11)
(9, 10, 17)
(9, 11, 17)
(9, 14, 15)
(10, 11, 17)
(10, 12, 17)
(10, 13, 17)
(10, 14, 15)
(10, 14, 17)
(10, 15, 17)
(10, 17, 18)
(10, 17, 19)
(11, 12, 17)
(11, 13, 17)
(11, 14, 17)
(11, 15, 17)
(11, 17, 18)
(11, 17, 19)
